Title,Print ISSN,e-ISSN
Journal of Natural Pharmaceuticals,2229-5119,2229-7715
Journal of Natural Products,0163-3864,1520-6025
Journal of Natural Resources Policy Research,1939-0459,1939-0467
"Journal of Natural Science, Biology and Medicine",0976-9668,2229-7707
Journal of Near Eastern Studies,0022-2968,1545-6978
Journal of Negative Results in BioMedicine,,1477-5751
Journal of Neonatal Nursing,1355-1841,
Journal of Nervous and Mental Disease,0022-3018,
Journal of Network and Computer Applications,1084-8045,
Journal of Network and Systems Management,1064-7570,1573-7705
Journal of Neural Engineering,1741-2560,1741-2552
Journal of Neural Transmission,0300-9564,1435-1463
Journal of Neural Transplantation,1352-237X,1687-5443
Journal of Neural Transplantation & Plasticity,0792-8483,1687-5443
Journal of Neuro-AIDS,1069-7438,1557-7546
Journal of Neuro-Oncology,0167-594X,1573-7373
Journal of Neuro-Ophthalmology,1070-8022,
Journal of Neurobiology,0022-3034,1097-4695
Journal of Neurochemistry,0022-3042,1471-4159
Journal of Neurodevelopmental Disorders,1866-1947,1866-1955
Journal of Neuroendocrinology,0953-8194,1365-2826
Journal of NeuroEngineering and Rehabilitation,,1743-0003
Journal of Neurogenetics (Informa),0167-7063,1563-5260
Journal of Neurogenetics (T&F),0167-7063,1563-5260
Journal of Neuroimaging,1051-2284,
Journal of Neuroimmunology,0165-5728,
Journal of Neuroinflammation,,1742-2094
Journal of Neurolinguistics,0911-6044,
Journal of Neurolmmune Pharmacology,1557-1890,1557-1904
Journal of Neurologic Physical Therapy,1557-0576,1557-0584
Journal of Neuropathic Pain & Symptom Palliation (Haworth),1543-7698,1543-7701
Journal of Neuropathic Pain & Symptom Palliation (Informa),1543-7698,1543-7701
Journal of Neuropathology and Experimental Neurology,0022-3069,
Journal of Neuroscience Methods,0165-0270,
Journal of Neuroscience Nursing,0888-0395,
Journal of Neuroscience Research,0360-4012,1097-4547
"Journal of Neuroscience, Psychology, and Economics",1937-321X,2151-318X
Journal of Neurosciences in Rural Practice,0976-3147,0976-3155
Journal of Neurosurgical Anesthesiology,0898-4921,
Journal of Neurotherapy,1087-4208,1530-017X
Journal of Neurotherapy,1087-4208,1530-017X
Journal of Neurotrauma,0897-7151,1557-9042
Journal of NeuroVirology (Informa),1355-0284,1538-2443
Journal of NeuroVirology (Springer),1355-0284,1538-2443
Journal of NeuroVirology (T&F),1355-0284,1538-2443
Journal of Neutron Research,1023-8166,1477-2655
Journal of New Music Research,0929-8215,1744-5027
Journal of New Seeds,1522-886X,1522-9025
Journal of Non-Crystalline Solids,0022-3093,
Journal of Non-Equilibrium Thermodynamics,0340-0204,1437-4358
Journal of Non-Newtonian Fluid Mechanics,0377-0257,
Journal of Nondestructive Evaluation,0195-9298,1573-4862
Journal of Nonlinear Mathematical Physics,1402-9251,1776-0852
Journal of Nonlinear Optical Physics & Materials,0218-8635,1793-6624
Journal of Nonlinear Science,0938-8974,1432-1467
Journal of Nonparametric Statistics,1048-5252,1029-0311
Journal of Nonprofit & Public Sector Marketing,1049-5142,1540-6997
Journal of Nonprofit & Public Sector Marketing,1049-5142,1540-6997
Journal of Nonverbal Behavior,0191-5886,1573-3653
Journal of North African Studies,1362-9387,1743-9345
Journal of Nuclear Cardiology,1071-3581,
Journal of Nuclear Energy,0022-3107,
Journal of Nuclear Energy (1954),0891-3919,
Journal of Nuclear Energy. Part A. Reactor Science,0368-3265,
"Journal of Nuclear Energy. Part C, Plasma Physics, Accelerators, Thermonuclear Research (Elsevier)",0368-3281,
"Journal of Nuclear Energy. Part C, Plasma Physics, Accelerators, Thermonuclear Research (IOP)",0368-3281,
Journal of Nuclear Energy. Parts A/B. Reactor Science and Technology,0368-3230,
Journal of Nuclear Materials,0022-3115,
Journal of Nuclear Science and Technology,0022-3131,1881-1248
Journal of Nucleic Acids,2090-0201,2090-021X
Journal of Number Theory,0022-314X,
Journal of Numerical Mathematics (Brill),1570-2820,1569-3953
Journal of Numerical Mathematics (De Gruyter),1570-2820,1569-3953
Journal of Nurse-Midwifery,0091-2182,
Journal of Nursing Administration,0002-0443,
Journal of Nursing and Healthcare of Chronic Illness,1752-9816,1752-9824
Journal of Nursing Care Quality,1057-3631,
Journal of Nursing Education,0148-4834,1938-2421
Journal of Nursing Management,0966-0429,1365-2834
Journal of Nursing Quality Assurance,0889-4647,
Journal of Nursing Research,1682-3141,1948-965X
Journal of Nursing Scholarship,1527-6546,1547-5069
"Journal of Nutraceuticals, Functional & Medical Foods",1089-4179,1540-7020
Journal of Nutrigenetics and Nutrigenomics,1661-6499,1661-6758
Journal of Nutrition and Metabolism,2090-0724,2090-0732
Journal of Nutrition Education and Behavior,1499-4046,1708-8259
Journal of Nutrition for the Elderly,0163-9366,1540-8566
Journal of Nutrition in Gerontology and Geriatrics,2155-1197,2155-1200
Journal of Nutrition in Recipe & Menu Development,1055-1379,1540-9600
Journal of Nutritional and Environmental Medicine (Informa),1359-0847,1364-6907
Journal of Nutritional and Environmental Medicine (T&F),1359-0847,1364-6907
Journal of Nutritional Biochemistry,0955-2863,
Journal of Nutritional Immunology,1049-5150,
Journal of Obesity,2090-0708,2090-0716
Journal of Obstetric Anaesthesia and Critical Care,2249-4472,2249-9539
"Journal of Obstetric, Gynecologic, & Neonatal Nursing (Wiley)",0884-2175,1552-6909
"Journal of Obstetric, Gynecologic, and Neonatal Nursing (Sage)",0884-2175,1552-6909
Journal of Obstetrics & Gynaecology (Informa),0144-3615,1364-6893
Journal of Obstetrics & Gynaecology (T&F),0144-3615,1364-6893
Journal of Obstetrics and Gynaecology Research,1341-8076,1447-0756
Journal of Occupational Accidents,0376-6349,
Journal of Occupational and Environmental Hygiene,1545-9624,1545-9632
Journal of Occupational and Environmental Medicine,1076-2752,
Journal of Occupational Health Psychology,1076-8998,1939-1307
Journal of Occupational Medicine,0096-1736,
Journal of Occupational Medicine and Toxicology,,1745-6673
Journal of Occupational Rehabilitation,1053-0487,1573-3688
Journal of Occupational Science,1442-7591,2158-1576
"Journal of Occupational Therapy, Schools and Early Intervention",1941-1243,1941-1251
Journal of Ocean University of China (English Edition),1672-5182,1993-5021
Journal of Oceanography,0916-8370,1573-868X
"Journal of Ocular Biology, Diseases, and Informatics",,1936-8445
Journal of Ocular Pharmacology and Therapeutics,1080-7683,1557-7732
"Journal of Offender Counseling, Services and Rehabilitation",0195-6116,
"Journal of Offender Counseling, Services and Rehabilitation",0195-6116,
Journal of Offender Rehabilitation,1050-9674,1540-8558
Journal of Offender Rehabilitation,1050-9674,1540-8558
Journal of Offshore Mechanics and Arctic Engineering,0892-7219,1528-896X
Journal of Oncology,1687-8450,1687-8469
Journal of Oncology Pharmacy Practice,1078-1552,1477-092X
Journal of Oncology Practice,1554-7477,1935-469X
Journal of Operations Management,0272-6963,
Journal of Operations Research Society of Japan,0453-4514,
Journal of Ophthalmic Inflammation and Infection,,1869-5760
Journal of Ophthalmology,2090-004X,2090-0058
Journal of Optical and Fiber Communications Reports,,1619-8638
Journal of Optical Communications,0173-4911,2191-6322
Journal of Optical Networking,1536-5379,
Journal of Optical Technology,1070-9762,
Journal of Optics,2040-8978,2040-8986
Journal of Optics,0150-536X,
Journal of Optics A: Pure and Applied Optics,1464-4258,1741-3567
Journal of Optics B: Quantum and Semiclassical Optics,1464-4266,1741-3575
Journal of Optimization Theory and Applications,0022-3239,1573-2878
Journal of Oral and Maxillofacial Pathology,0973-029X,1998-393X
Journal of Oral and Maxillofacial Surgery,0278-2391,
Journal of Oral Microbiology,,2000-2297
Journal of Oral Pathology & Medicine,0904-2512,1600-0714
Journal of Oral Rehabilitation,0305-182X,1365-2842
Journal of Organ Dysfunction (Informa),1747-1060,1747-1079
Journal of Organ Dysfunction (T&F),1747-1060,1747-1079
Journal of Organisational Transformation & Social Change,1477-9633,2040-056X
Journal of Organizational Behavior,0894-3796,1099-1379
Journal of Organizational Behavior Management,0160-8061,1540-8604
Journal of Organizational Behavior Management,0160-8061,1540-8604
Journal of Organizational Change Management,0953-4814,
Journal of Organizational Computing and Electronic Commerce,1091-9392,1532-7744
Journal of Organizational Excellence,1531-1864,1531-6653
Journal of Organometallic Chemistry,0022-328X,
Journal of Ornithology,2193-7192,2193-7206
Journal of Orthodontics,1465-3125,1465-3133
Journal of Orthopaedic Nursing,1361-3111,
Journal of Orthopaedic Research (Elsevier),0736-0266,1554-527X
Journal of Orthopaedic Research (Wiley),0736-0266,1554-527X
Journal of Orthopaedic Surgery and Research,,1749-799X
Journal of Orthopaedic Trauma,0890-5339,
Journal of Orthoptera Research,1082-6467,
Journal of Osteopathic Medicine,1443-8461,
Journal of Osteoporosis,2090-8059,2042-0064
"Journal of Outdoor Recreation, Education, and Leadership",,1948-5123
Journal of Ovarian Research,,1757-2215
Journal of Pacific History,0022-3344,1469-9605
Journal of Pacific Rim Psychology,1834-4909,
Journal of Paediatrics and Child Health,1034-4810,1440-1754
Journal of Pain,1526-5900,
Journal of Pain & Palliative Care Pharmacotherapy (Haworth),1536-0288,1536-0539
Journal of Pain & Palliative Care Pharmacotherapy (Informa),1536-0288,1536-0539
Journal of Pain and Symptom Management,0885-3924,
Journal of Paleolimnology,0921-2728,1573-0417
Journal of Paleontology,0022-3360,
Journal of Palestine Studies,0377-919X,1533-8614
Journal of Palliative Medicine,1096-6218,1557-7740
Journal of Parallel and Distributed Computing,0743-7315,
Journal of Parasitology,0022-3395,
Journal of Parasitology Research,2090-0023,2090-0031
Journal of Parenteral and Enteral Nutrition,0148-6071,1941-2444
Journal of Pathogens,2090-3057,2090-3065
Journal of Pathology,0022-3417,1096-9896
Journal of Patient Safety,1549-8417,1549-8425
Journal of Peace Education,1740-0201,1740-021X
Journal of Peace Research,0022-3433,1460-3578
Journal of Peasant Studies,0306-6150,1743-9361
Journal of Pediatric and Adolescent Gynecology,1083-3188,
Journal of Pediatric Endocrinology and Metabolism,0334-018X,2191-0251
Journal of Pediatric Gastroenterology and Nutrition,0277-2116,
Journal of Pediatric Health Care,0891-5245,
Journal of Pediatric Hematology/Oncology,1077-4114,1536-3678
Journal of Pediatric Neurosciences,1817-1745,1998-3948
Journal of Pediatric Nursing,0882-5963,
Journal of Pediatric Oncology Nursing (Elsevier),1043-4542,1532-8457
Journal of Pediatric Oncology Nursing (Sage),1043-4542,1532-8457
Journal of Pediatric Ophthalmology & Strabismus,0191-3913,1938-2405
Journal of Pediatric Orthopaedics,0271-6798,
Journal of Pediatric Orthopaedics Part B,1060-152X,1473-5865
Journal of Pediatric Psychology,0146-8693,1465-735X
Journal of Pediatric Surgery,0022-3468,
Journal of Pediatric Urology,1477-5131,
Journal of Pediatrics (Elsevier),0022-3476,
Journal of Pelvic Medicine and Surgery,1542-5983,
Journal of Pelvic Surgery,1077-2847,
Journal of Pension Economics and Finance,1474-7472,1475-3022
Journal of Pentecostal Theology (Brill),0966-7369,1745-5251
Journal of Pentecostal Theology (Sage),0966-7369,1745-5251
Journal of Peptide Science,1075-2617,1099-1387
Journal of Performance of Constructed Facilities,0887-3828,1943-5509
Journal of PeriAnesthesia Nursing,1089-9472,
Journal of Perinatal and Neonatal Nursing,0893-2190,
Journal of Perinatal Medicine,0300-5577,1619-3997
Journal of Perinatology,0743-8346,1476-5543
Journal of Periodontal Research,1600-0765,0022-3484
Journal of Persianate Studies,1874-7094,1874-7167
Journal of Personality,0022-3506,1467-6494
Journal of Personality and Social Psychology,0022-3514,1939-1315
Journal of Personality Assessment,0022-3891,1532-7752
Journal of Personality Disorders,0885-579X,1943-2763
Journal of Personnel Psychology,1866-5888,2190-5150
Journal of Pest Science,1612-4758,1612-4766
Journal of Petroleum Geology,0141-6421,1747-5457
Journal of Petroleum Science and Engineering,0920-4105,
Journal of Petrology,0022-3530,1460-2415
Journal of Pharmaceutical and Biomedical Analysis,0731-7085,
Journal of Pharmaceutical Care in Pain & Symptom Control,1056-4950,
"Journal of Pharmaceutical Finance, Economics & Policy",1538-5698,1538-5396
Journal of Pharmaceutical Health Services Research,1759-8885,1759-8893
Journal of Pharmaceutical Innovation,1872-5120,1939-8042
Journal of Pharmaceutical Marketing & Management (Haworth),0883-7597,1540-8574
Journal of Pharmaceutical Marketing & Management (Informa),0883-7597,1540-8574
Journal of Pharmaceutical Negative Results,0976-9234,2229-7723
Journal of Pharmaceutical Sciences,0022-3549,1520-6017
Journal of Pharmacoepidemiology,0896-6966,1540-8582
Journal of Pharmacokinetics and Pharmacodynamics,1567-567X,1573-8744
Journal of Pharmacological and Toxicological Methods,1056-8719,
Journal of Pharmacological Methods,0160-5402,
Journal of Pharmacology and Pharmacotherapeutics,0976-500X,0976-5018
Journal of Pharmacy and Bioallied Sciences,0975-7406,0976-4879
Journal of Pharmacy and Pharmacology,0022-3573,2042-7158
Journal of Pharmacy Practice,0897-1900,1531-1937
Journal of Pharmacy Teaching (Haworth),1044-0054,1540-7365
Journal of Pharmacy Teaching (Informa),1044-0054,1540-7365
Journal of Phenomenological Psychology,0047-2662,1569-1624
Journal of Philosophical Logic,0022-3611,1573-0433
Journal of Philosophical Research,1053-8364,2153-7984
Journal of Philosophy of Education,0309-8249,1467-9752
Journal of Philosophy: A Cross-Disciplinary Inquiry,2072-036X,2154-1442
Journal of Phonetics,0095-4470,
Journal of Photochemistry,0047-2670,
Journal of Photochemistry and Photobiology A: Chemistry,1010-6030,
Journal of Photochemistry and Photobiology B: Biology,1011-1344,
Journal of Photochemistry and Photobiology C: Photochemistry Reviews,1389-5567,
Journal of Photonics for Energy,,1947-7988
Journal of Phycology,0022-3646,1529-8817
Journal of Physical Chemistry Letters,,1948-7185
Journal of Physical Oceanography,0022-3670,1520-0485
Journal of Physical Organic Chemistry,0894-3230,1099-1395
Journal of Physics A: General Physics,0022-3689,
Journal of Physics A: Mathematical and General,0305-4470,1361-6447
Journal of Physics A: Mathematical and Theoretical,1751-8113,1751-8121
"Journal of Physics A: Mathematical, Nuclear and General",0301-0015,
Journal of Physics and Chemistry of Solids,0022-3697,
Journal of Physics B: Atomic and Molecular Physics,0022-3700,
"Journal of Physics B: Atomic, Molecular and Optical Physics",0953-4075,1361-6455
Journal of Physics C: Solid State Physics,0022-3719,
Journal of Physics D: Applied Physics,0022-3727,1361-6463
Journal of Physics E: Scientific Instruments,0022-3735,
Journal of Physics F: Metal Physics,0305-4608,
